candidateId,value,universidad homologada
630665b8594e18004af05038,Universidad Católica Los Ángeles De Chimbote,UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE
630665b8594e18004af0503f,Universidad Nacional Pedro Ruiz Gallo - Unprg,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO  UNPRG
630665b8594e18004af05047,Cibertec,CIBERTEC
630665b8594e18004af05057,Senati,SENATI
630665b8594e18004af0505d,Universidad De San Martin De Porres - Usmp,UNIVERSIDAD DE SAN MARTÍN DE PORRES
630665b8594e18004af05064,Upn,UNIVERSIDAD PRIVADA DEL NORTE SAC
630665b8594e18004af0506a,Instituto Ifb Certus,INSTITUTO IFB CERTUS
630665b8594e18004af05073,Universidad Tecnologica Del Peru,UNIVERSIDAD TECNOLÓGICA DEL PERÚ SAC
630665b8594e18004af0507f,Senati,SENATI
630665b8594e18004af05085,Universidad Nacional De La Amazonia Peruana,UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA
630665b8594e18004af0509a,Universidad Católica Sedes Sapientiae,UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE
630665b8594e18004af0509a,Cet N° 34,CET N 34
630665b8594e18004af050a1,Universidad Católica Sedes Sapientiae,UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE
630665b8594e18004af050a7,Instituto Sise,INSTITUTO SISE
630665b8594e18004af050ae,Telesup,TELESUP
